idx,name,balance,due_day,repeat,bank_bal,bank_date,paid,cycle
0,Capital One,1.35,"2019,04,12",True,2168.00,2018-09-27 16:50:27.079800,1.35,30
1,Scotia ,2500.00,"2019,04,08",True,4200.01,"2019,01,15",1025.00,30
2,MBNA,3836.45,"2019,02,14",True,6200.01,"2018,01,30",400.00,30
3,Water,232.76,"2018,10,17",True,"[0.0, datetime.datetime(2018, 9, 27, 7, 8, 34, 306276)]",2018-09-27 16:50:27.079800,232.76,60
4,Hydropower ,262.78,"2018,12,28",True,"[0.0, datetime.datetime(2018, 9, 27, 7, 8, 34, 306276)]",2018-09-27 16:50:27.079800,262.61,60
5,Garbage ,75.0,"2019,03,14",True,"[0.0, datetime.datetime(2018, 9, 27, 7, 8, 34, 306276)]",2018-09-27 16:50:27.079800,75.00,60
6,Mortgage ,1183.55,"2019,04,01",True,"[0.0, datetime.datetime(2018, 9, 27, 7, 8, 34, 306276)]",2018-09-27 16:50:27.079800,1183.55,15
7,House Ins,1557.00,"2019,09,01",True,"[0.0, datetime.datetime(2018, 9, 27, 7, 8, 34, 306276)]",2018-09-27 16:50:27.079800,1557.00,365
8,House Tax,3268.22,"2019,07,03",True,"[0.0, datetime.datetime(2018, 9, 27, 7, 8, 34, 306276)]",2018-09-27 16:50:27.079800,3268.22,365
9,Line of Credit,4000.00,"2019,05,11",True,"[0.0, datetime.datetime(2018, 9, 27, 7, 8, 34, 306276)]",2018-09-27 16:50:27.079800,1000.00,30
10,Shaw,131.39,"2019,02,02",True,"[0.0, datetime.datetime(2018, 9, 27, 7, 8, 34, 306276)]",2018-09-27 16:50:27.079800,131.39,30
11,Telus Mobility,360.00,"2019,02,04",True,"[0.0, datetime.datetime(2018, 9, 27, 7, 8, 34, 306276)]",2018-09-27 16:50:27.079800,230,30
12,Life,152.48,"2019,02,15",True,"[0.0, datetime.datetime(2018, 9, 27, 7, 8, 34, 306276)]",2018-09-27 16:50:27.079800,152.48,30
13,Disability ,129.60,"2019,02,01",True,"[0.0, datetime.datetime(2018, 9, 27, 7, 8, 34, 306276)]",2018-09-27 16:50:27.079800,129.60,30
14,RSP,200.00,"2019,02,01",True,"[0.0, datetime.datetime(2018, 9, 27, 7, 8, 34, 306276)]",2018-09-27 16:50:27.079800,200.00,15
15,Car Ins,1500.00,"2019,11,25",True,0.0,2018-10-16 22:40:27.918800,1500.00,365
16,Truck Ins,1500.00,"2019,06,25",True,0.0,2018-10-16 22:55:38.677524,1500.00,365
17,Sidney Preskool,170.00,"2019,05,01",True,0.0,2018-10-17 10:18:18.994364,170.00,30
18,Cleaner,75.00,"2019,01,30",True,0.0,2018-10-17 10:18:18.994364,75,15
19,Aftr Skool Cr,69.00,"2018,11,23",True,0.0,2018-11-23 17:48:38.394908,69.00,30
20,Groceries ,500.00,"2019,01,30",True,0.0,2018-11-30 06:11:31.956946,500.00,30
21,Fuel,200.00,"2019,02,28",True,0.0,2018-11-30 07:56:55.585568,200.00,30
